demand,target,policy,policy_id,seed,periods,requests,dispatched,completion_rate,first24_completion_rate,late24_service_ratio,final_queue,mean_wait_minutes,late_mean_wait_minutes,late_p95_wait_mean,final_oldest_queue_age,north_completion_rate,central_completion_rate,south_completion_rate,north_route_share,central_route_share,south_route_share,population_weighted_exposure_mean,late_population_weighted_exposure_mean,late_central_use_mean,late_central_budget_mean,late_central_budget_sd,late_target_gap,late_budget_direction_changes,final_central_budget,runtime_ms
45,14.05,P2 fixed,p2,501,120,8431,4680,0.5550942948641917,0.6050420168067226,0.5467289719626168,3751,11956.50242622711,22468.017404267965,22534.790121838698,25029,0.5485854858548586,0.5545757397609249,0.5628672150411281,0.3333333333333333,0.3333333333333333,0.3333333333333333,13.115210500876218,13.115206380746189,13.130532697924204,14.050000000000006,5.443687297790758e-15,5.329070518200751e-15,0,14.05,87.20216600000003
45,14.05,P2 fixed,p2,502,120,8488,4680,0.5513666352497644,0.6303030303030303,0.5410404624277456,3808,11820.405073190575,22476.12882964799,22544.555913633103,25126,0.5425055928411633,0.5510978043912176,0.5615384615384615,0.3333333333333333,0.3333333333333333,0.3333333333333333,13.11520532916037,13.115207453894072,13.130533264447168,14.050000000000006,5.443687297790758e-15,5.329070518200751e-15,0,14.05,77.47204200000033
45,14.05,P2 fixed,p2,503,120,8433,4680,0.5549626467449307,0.6174142480211082,0.5151348376444689,3753,11820.282613538468,22267.57033993879,22340.416326265677,24858,0.5729166666666666,0.5462780622292241,0.563551944283227,0.3333333333333333,0.3333333333333333,0.3333333333333333,13.115207705499472,13.115200138694975,13.130530794792492,14.050000000000006,5.443687297790758e-15,5.329070518200751e-15,0,14.05,75.3715830000001
45,14.05,P2 fixed,p2,504,120,8458,4680,0.5533222984157011,0.6149802890932983,0.5473684210526316,3778,11932.840618474538,22690.480108073956,22760.26939612694,25360,0.5567190226876091,0.5557306025994486,0.5424443106562312,0.3333333333333333,0.3333333333333333,0.3333333333333333,13.115203381494013,13.115202898960844,13.130531568993431,14.050000000000006,5.443687297790758e-15,5.329070518200751e-15,0,14.05,75.60266699999966
45,14.05,P2 fixed,p2,505,120,8451,4677,0.5534256301029464,0.5973111395646606,0.5422943221320974,3774,12017.425842970795,22554.084765863867,22629.921866905086,25410,0.5647123893805309,0.5500303214069133,0.5512971698113207,0.3333333333333333,0.3333333333333333,0.3333333333333333,13.106793699756654,13.115203382233304,13.13053186508683,14.050000000000006,5.443687297790758e-15,5.329070518200751e-15,0,14.05,91.06799999999976
45,14.05,P2 fixed,p2,506,120,8485,4680,0.5515615792575133,0.6153846153846154,0.5294117647058824,3805,11952.962671602632,22569.807738123065,22640.878649781516,25100,0.5555555555555556,0.5498392282958199,0.5524355300859599,0.3333333333333333,0.3333333333333333,0.3333333333333333,13.115207890180889,13.115206377057698,13.130532886327357,14.050000000000006,5.443687297790758e-15,5.329070518200751e-15,0,14.05,85.40220799999997
45,14.05,P2 fixed,p2,507,120,8459,4677,0.5529022343066556,0.6257545271629779,0.5360824742268041,3782,12020.422476864587,22721.92390014169,22792.11777646864,25317,0.5423327412670219,0.5547689282202557,0.5578635014836796,0.3333333333333333,0.3333333333333333,0.3333333333333333,13.10680064776685,13.115205187446518,13.130532449948703,14.050000000000006,5.443687297790758e-15,5.329070518200751e-15,0,14.05,74.51579100000026
45,14.05,P2 fixed,p2,508,120,8258,4680,0.5667231775248244,0.6133682830930537,0.5662431941923775,3578,11674.532849420531,21941.153056331277,22015.970493022778,24696,0.5634771732332708,0.5693577612240789,0.5620567375886525,0.3333333333333333,0.3333333333333333,0.3333333333333333,13.115207399636535,13.115212081459193,13.130534366942745,14.050000000000006,5.443687297790758e-15,5.329070518200751e-15,0,14.05,74.21633399999973
45,14.05,P2 fixed,p2,509,120,8403,4680,0.5569439485897894,0.6042608134280181,0.5401038661281016,3723,11971.498303154745,22604.865328723958,22677.803005249418,25234,0.549346016646849,0.5617038216560509,0.5503830288744844,0.3333333333333333,0.3333333333333333,0.3333333333333333,13.115208181739469,13.115219790731006,13.130536673975959,14.050000000000006,5.443687297790758e-15,5.329070518200751e-15,0,14.05,74.00495799999999
45,14.05,P2 fixed,p2,510,120,8479,4680,0.5519518811180564,0.6081871345029239,0.5267304445694991,3799,11865.243168286977,22315.535383968996,22383.223877341752,25064,0.5600475624256838,0.5514018691588785,0.5454545454545454,0.3333333333333333,0.3333333333333333,0.3333333333333333,13.11520560850521,13.115203407959912,13.130531743140493,14.050000000000006,5.443687297790758e-15,5.329070518200751e-15,0,14.05,76.02266700000018
